Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
0,0.71,1.9,1.01,82.8,60.14,64.23,70,27.61,48.34,26.92,13.35,79.57,44.31,21.97,1,146354.7858,0
0,0.77,1.97,1.08,48.05,31.99,31.07,73,27.37,51.37,27.6,14.06,86.11,46.27,23.56,1,139959.8189,0
0,1.41,2.81,1.98,31.21,24.39,21.33,130,16.34,84.63,27.54,13.83,207.23,67.45,33.86,1,143182.7927,0
0,1.21,2.79,1.7,23.05,17.25,16.1,193,18.92,91.38,33.61,17.29,171.9,63.22,32.52,1,162323.1294,0
0,0.98,2.13,1.32,35.92,28.96,29.03,192,12.3,168.49,47.88,20.72,251.93,71.59,30.97,1,112698.3129,0
0,0.89,1.98,1.19,28.79,23.86,19.76,136,13.34,154.14,47.25,20.7,226.22,69.35,30.39,1,128030.1866,0
0,0.79,1.83,1.05,52.23,43.94,39.93,101,14.84,134.87,46.53,20.13,189.83,65.5,28.34,1,136882.4631,0
0,0.65,1.55,0.85,64.6,52.98,49.62,84,17.74,111.3,46.82,19.85,137.72,57.93,24.57,1,157120.0472,0
0,0.55,1.53,0.71,91.23,74.86,75.62,81,20.76,96.38,44.89,20.12,114.7,53.42,23.94,1,170868.6687,0
0,0.56,1.54,0.72,48.78,39.54,34.02,82,20.94,96.19,43.96,20.25,118.83,54.3,25.02,0,164461.0865,0
0,0.74,1.54,0.93,61.78,49.34,49.34,97,20.38,94.42,41.36,19.31,128.27,56.19,26.24,0,204878.4278,0
0,0.76,1.52,0.95,57.52,47.74,46.38,107,20.24,107.65,45.85,21.87,134.78,57.41,27.38,0,206104.959,0
0,0.77,1.54,0.96,73.27,62.88,62.75,113,17.3,112.96,44.34,19.63,154.78,60.75,26.9,0,213886.0099,0
0,0.78,1.57,0.96,43.53,32.36,33.01,110,17.95,123.95,48.75,22.33,154.23,60.67,27.79,0,240674.5188,0
0,0.84,1.58,1.03,51.56,39.63,41.51,117,17.98,120.44,46.73,21.76,157.73,61.2,28.49,0,223503.8551,0
0,0.87,1.69,1.08,44.2,35.98,34.6,124,18.61,112.3,43.97,21.02,155.38,60.84,29.08,0,234404.488,0
0,1.21,2.08,1.5,71.79,4.49,61.04,113,18.06,143.29,52.45,26.03,173.22,63.4,31.47,0,197772.1081,0
0,1.48,2.37,1.85,39,25.76,28.13,105,13.54,207.1,57.09,28.27,262.72,72.43,35.86,0,194835.1888,0
0,1.5,2.35,1.86,46,38.47,37.43,136,13.98,194.19,53.15,27.36,265.35,72.63,37.38,0,180833.531,0
0,1.52,2.38,1.88,42.68,34.46,33.64,126,11.99,227.99,54.62,27.6,317.43,76.04,38.43,0,187867.2472,0
0,1.45,2.29,1.81,56.02,47.52,47.08,117,10.12,291.25,66.35,29.84,338.95,77.22,34.72,0,158919.6319,0
0,1.37,2.2,1.7,34.81,26.39,25.85,108,10.84,279.05,67.09,30.61,315.92,75.96,34.66,0,158049.8178,0
0,1.45,2.35,1.82,42.37,34.54,34.01,115,12.14,240.94,63.5,29.57,279.45,73.65,34.3,0,159330.3218,0
0,1.54,2.54,1.93,37.21,28.86,29.21,117,12.24,238.81,60.48,29.56,294.85,74.67,36.5,0,140636.865,0
0,1.68,2.66,2.11,45.92,38.82,38.19,128,12.91,231.75,61.55,30.25,276.55,73.44,36.1,0,132903.5871,0
0,1.77,3.39,2.28,15.24,8.68,8.27,147,12.56,267.08,66.39,33.87,302.26,75.14,38.33,0,145386.2225,0
3,-2.32,0.34,-2.6,205.57,170,173.6,53,61.72,13.75,12.09,8.49,13.75,12.09,8.49,0,434095.0757,1
3,-2.33,0.35,-2.65,142.33,118.77,120.84,83,59.69,13.73,12.07,8.19,13.73,12.07,8.19,0,499850.6402,1
3,-2.51,0.34,-2.88,233.42,209.79,207.89,84,57.59,13.08,11.57,7.53,13.08,11.57,7.53,0,462636.4207,1
3,-2.31,0.34,-2.66,182.12,165.86,159.92,85,58.34,14.11,12.37,8.23,14.11,12.37,8.23,0,550883.9486,1
3,-2.26,0.6,-2.6,122.28,98.5,102.82,100,54.35,24,19.1,13.05,25.67,20.42,13.95,0,591015.7207,1
3,-1.98,0.67,-2.28,114.21,80.94,97.09,115,48.11,25.99,19.74,12.5,31.64,24.04,15.22,0,664153.5018,1
3,-2.09,0.61,-2.39,204.74,180.18,185.08,131,47.09,26.36,20.35,12.41,29.52,22.79,13.9,0,710200.7635,1
3,-2.05,0.69,-2.34,127.34,112.81,112.13,163,49.39,31.06,23.18,15.34,34.01,25.38,16.8,0,723159.45,1
3,-1.91,0.8,-2.19,85.41,75.24,70.06,201,46.01,37.73,26.33,17.36,43.3,30.22,19.92,0,639938.7566,1
3,-1.71,0.9,-1.98,74.55,59.34,61.44,238,41.09,44.79,29.08,18.41,54.01,35.07,22.19,0,598970.9306,1
3,-1.85,0.88,-2.15,98.28,85.19,87.58,276,43.73,41.48,27.82,18.14,49.09,32.93,21.47,0,578907.3888,1
3,-1.95,1.19,-2.29,51.29,44.01,43.57,321,42.73,53.18,32.98,22.72,61.22,37.97,26.16,0,503721.611,1
5,-3.03,0.37,-3.5,169.05,136.67,145.62,21,79.36,5.45,5.06,4.32,7.67,7.12,6.08,0,165482.867,0
5,-3.03,0.36,-3.51,108.38,82.68,94.78,37,80.12,5.14,4.79,4.11,7.23,6.74,5.79,0,209849.6805,0
5,-3.02,0.43,-3.49,195,164.65,169.45,20,80,4.84,4.45,3.87,8.84,8.12,7.07,0,208983.9634,0
5,-2.47,0.47,-2.88,177.59,142.41,147.14,22,75.21,4.62,4.21,3.47,9.59,8.75,7.21,0,188461.8427,0
5,-2.64,0.48,-3.15,169.9,128.38,130.48,21,75.81,4.39,4.03,3.33,9.12,8.36,6.92,0,247892.484,0
5,-2.8,0.43,-3.45,207,158.43,161.62,21,76.46,4.17,3.87,3.19,7.72,7.17,5.9,0,233420.545,0
