Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
19,0.22,0.46,0.25,114.63,45.88,101.25,8,61.38,14.12,12.36,8.68,14.21,12.44,8.73,0,128177.6273,1
19,0.23,0.41,0.25,153.75,73,139.5,8,63.79,13.34,11.76,8.52,13.42,11.83,8.57,0,130552.3465,1
19,-0.06,0.21,-0.07,132,57.25,117.38,8,69.06,6.24,5.87,4.31,6.31,5.93,4.36,0,121996.2202,1
19,0.14,0.21,0.16,263.75,67,232.5,4,72.25,6.07,5.71,4.39,6.31,5.93,4.56,0,91273.7306,1
19,-0.09,0.2,-0.11,1154,481,1017,1,65.74,5.8,5.47,3.81,6.03,5.68,3.97,0,103987.6814,1
19,-0.03,0.19,-0.03,188.13,76.5,169.88,8,68.76,5.52,5.22,3.8,5.73,5.42,3.95,0,112047.7956,1
19,0.1,0.18,0.12,241.6,26.6,210.8,5,69.74,5.35,5.07,3.73,5.56,5.26,3.88,0,115958.0715,1
19,0.29,0.37,0.33,184.6,1.2,151.8,5,70.16,10.29,9.33,7.22,10.32,9.35,7.24,0,94245.7636,1
19,-0.02,0.31,-0.02,401.33,129.33,342.33,3,64.99,8.1,7.48,5.27,8.28,7.65,5.39,0,115886.8642,1
19,0,0.3,0,210.63,97.25,187,8,67.46,7.63,7.07,5.15,7.86,7.29,5.31,0,109368,1
19,-0.07,0.29,-0.08,207.86,89.14,179.57,7,67.64,7.24,6.73,4.9,7.59,7.05,5.13,0,66981.08,1
19,-0.23,0.25,-0.26,135.2,51.3,115.2,10,68.51,6.91,6.46,4.74,6.94,6.49,4.75,0,66051.5248,1
19,-0.64,0.24,-0.74,224.43,133.14,194.57,7,62.72,6.74,6.31,4.23,6.76,6.33,4.24,0,47923.7,1
19,-0.71,0.23,-0.82,262.75,183.5,234.63,8,64.31,6.47,6.07,4.16,6.5,6.1,4.18,0,67369.13,1
19,-0.4,0.22,-0.45,172.7,104.6,149.6,10,64.18,6.54,6.14,4.2,6.57,6.17,4.22,0,72842,1
19,-0.14,0.23,-0.16,111.08,44.83,91.25,12,65.98,6.67,6.25,4.4,6.71,6.28,4.43,0,87818.83,1
19,-0.44,0.22,-0.51,94.22,52.22,80.44,18,61.27,6.39,6,3.91,6.39,6,3.91,0,80055.79,1
19,-0.55,0.22,-0.64,145.19,88,129.13,16,63.37,6.05,5.71,3.83,6.05,5.71,3.83,0,83611.44,1
19,-0.48,0.21,-0.56,150.29,90.5,130.21,14,62.93,3.8,3.59,2.39,6.09,5.74,3.83,0,80186.16,1
19,-0.19,0.2,-0.22,128.5,57.07,107.79,14,65.07,3.82,3.6,2.49,6.09,5.74,3.96,0,97811.48,1
19,-0.32,0.23,-0.37,147,98.43,124.71,14,59.09,5.02,4.68,2.97,7.29,6.8,4.31,0,88295.85,1
19,-0.23,0.22,-0.27,163.59,113.18,144.53,17,58.57,5.01,4.67,2.93,7.28,6.78,4.26,0,76080.87,1
19,-0.13,0.28,-0.16,132.83,63.89,114.22,18,59.92,9.06,8.3,5.43,9.11,8.35,5.46,0,93241.93,1
19,0,0.27,0,95.95,40.24,79.38,21,61.91,8.89,8.16,5.5,8.94,8.2,5.53,0,86064.48,1
19,-0.09,0.26,-0.1,87.41,57,74.04,27,56.77,9,8.26,5.11,9.06,8.31,5.15,0,84960,1
19,-0.01,0.25,-0.02,74.67,51.09,66.12,43,58.89,8.62,7.94,5.08,8.68,7.99,5.11,0,84691.53,1
19,0.17,0.35,0.2,75.74,48.95,65.08,38,57.74,10.32,9.19,5.96,12.31,10.96,7.11,0,71462.94,1
19,0.3,0.44,0.35,71.23,41.86,58.51,35,60.6,9.93,8.62,6.02,15.18,13.18,9.2,0,75771.08,1
19,0.36,0.68,0.42,45.59,34.4,38.44,63,52.77,23.93,19.3,12.63,23.98,19.34,12.66,0,78681.8,1
19,0.53,0.69,0.62,32.66,24.99,28.03,104,52.59,24.46,19.59,12.86,24.89,19.93,13.09,1,75901.31,1
19,0.66,0.85,0.78,27.98,17.6,22.91,97,52.74,24.03,18.57,12.68,29.39,22.71,15.5,1,72691.5,1
19,1.01,1.29,1.23,14.99,6.93,11.38,128,47.89,46.52,31.73,22.28,46.59,31.78,22.31,1,52918.8,1
19,0.94,1.41,1.16,12.61,7.57,9.78,171,45.78,45.34,31.18,20.76,45.41,31.23,20.79,1,51460.5,1
19,0.88,1.47,1.09,17.65,11.74,14.87,172,47.79,42.79,29.96,20.45,42.84,29.99,20.48,1,51143.76,1
19,1.27,1.66,1.59,14.45,7.75,11.45,154,38.34,65.01,38.02,24.92,71.01,41.53,27.22,1,40606.1,1
19,1.42,1.85,1.79,8.69,3.27,6.28,199,39.96,64.26,36.55,25.68,75.82,43.12,30.3,1,39985.05,1
19,1.39,1.93,1.8,7.2,4.33,4.36,167,38.83,64.04,38,24.87,68.53,40.66,26.61,1,36514.88,1
19,1.38,2.02,1.83,15.68,12.13,12.68,161,41.35,60.95,37.49,25.2,62.56,38.48,25.87,1,43886.31,1
19,1.45,2.13,1.96,11.46,8.32,8.43,157,41.66,56.28,34.78,23.44,61.8,38.2,25.74,1,44201.76,1
19,1.74,2.62,2.5,5.29,2.11,1.91,139,43.19,54.38,33.09,23.48,64.32,39.14,27.78,1,42678.09,1
19,1.42,2.48,2,7.96,6.97,5.44,180,41.11,53.72,32.85,22.09,63.55,38.86,26.13,1,47560.98,1
19,1.33,2.6,1.89,13.72,12.56,10.98,167,43.57,50.4,31.57,21.96,59.63,37.35,25.98,1,59397.78,1
19,1.25,2.4,1.77,10.21,8.88,7.52,168,45.02,44.66,29.04,20.11,53.79,34.98,24.22,1,47497.66,1
19,1.25,2.02,1.72,7.26,4.73,4.52,161,47.44,44.67,29.79,21.19,49.93,33.3,23.69,1,50737.8,1
19,1.05,1.89,1.41,12.27,11.02,9.19,142,44.41,39.63,26.41,17.6,50.06,33.36,22.23,1,59564.1,1
19,1.04,1.82,1.38,16.4,14.72,13.57,151,45.72,39.74,26.47,18.17,50.14,33.39,22.92,1,59365.7,1
19,1.15,1.77,1.51,12.84,10.9,9.92,146,45.79,45.79,30.29,20.97,51.14,33.84,23.42,1,54805.17,1
19,1.22,1.67,1.58,16.08,11.48,11.4,91,47.08,46.1,30.4,21.7,51.61,34.04,24.3,1,55660.92,1
19,1.17,1.81,1.5,13.09,11.6,10.09,141,42.52,58.91,37.02,25.05,59.14,37.16,25.15,1,68965.19,1
19,1.04,1.74,1.33,18.25,16.44,15.4,149,43.13,58.85,36.99,25.38,59.1,37.14,25.49,1,79483.5,1
19,1.06,1.69,1.34,12.54,10.31,9.97,162,42.82,60.44,37.61,25.88,60.68,37.77,25.98,1,80940.97,1
19,1.05,1.62,1.32,11.34,8.63,8.64,154,44.17,60.11,37.5,26.55,60.27,37.61,26.63,1,89819.84,1
19,0.89,1.56,1.1,13.62,12.08,10.99,156,41.51,60.04,37.47,24.92,60.22,37.59,25,1,99873.2,1
19,0.9,1.49,1.11,19.3,17.22,16.57,155,42,61.08,37.87,25.66,61.27,37.99,25.74,1,108055.56,1
19,0.92,1.47,1.12,13.92,11.67,11.18,155,42.58,60.77,37.75,25.87,60.96,37.87,25.95,1,115130.05,1
19,0.88,1.39,1.07,13.11,10.49,10.54,166,43.27,53.3,33.16,23.06,60.73,37.78,26.28,1,108401.92,1
19,0.86,1.57,1.04,15.42,13.64,12.77,164,37.09,69.91,39.27,25.93,78.03,43.83,28.94,1,106053,1
19,0.9,1.48,1.09,19.89,18.04,17.34,174,36.68,73.98,40.55,27.14,82.43,45.18,30.24,1,107647.92,1
19,1.02,1.75,1.22,14.31,12.33,12.01,191,32.44,103.36,48.61,33.53,112.63,52.97,36.54,1,107343.5,1
19,1.17,1.61,1.4,12.09,9.76,9.68,182,30.9,117.32,53.92,36.26,117.59,54.04,36.34,1,128531.36,1
19,1.1,1.58,1.31,14.26,12.76,11.92,191,28.49,121.09,54.7,34.5,121.37,54.83,34.58,1,136476.94,1
19,1.08,1.71,1.28,18.74,17.08,16.58,208,26.35,145.78,59.24,38.41,146.08,59.36,38.49,1,142305.45,1
