Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
8,1.75,9.69,8.8,13.47,-1.11,5.42,6.3,41.52,50.88,33.72,21.12,50.88,33.72,21.13,1,2193.9266,7
8,1.2,3.64,3.27,26.18,5.25,16.19,5.2,42.65,42.39,29.77,18.08,42.4,29.77,18.08,1,2431.4069,7
8,0.9,2.01,1.83,32.28,5.07,19.48,4.3,43.23,37.19,27.11,16.08,37.2,27.11,16.08,1,2581.7602,7
8,0.69,1.41,1.21,36.71,0.65,21.25,3.6,43.06,36.2,26.58,15.59,36.2,26.58,15.59,1,2593.8165,7
8,0.51,1.09,0.81,52.36,6.05,36.7,3.2,42.46,35.11,25.98,14.91,35.12,25.99,14.91,1,2678.2891,7
8,0.37,0.94,0.56,26.69,4.2,19.43,6.8,43.09,32.6,24.58,14.05,32.6,24.59,14.05,1,2919.9976,7
8,0.63,1.2,0.92,74.87,14.86,52.35,2.7,40.19,41.66,28.81,16.74,44.62,30.85,17.93,1,2722.4072,7
8,0.51,1.02,0.72,34.54,3.39,25.73,6.2,41.53,39.56,27.67,16.43,43,30.07,17.86,1,3001.0935,7
8,0.38,0.8,0.5,57.23,9.59,46.38,5.4,44.75,33.72,24.7,15.09,36.53,26.76,16.35,1,3334.1536,7
8,0.43,0.86,0.6,29.03,-6.79,15.98,4.5,45.04,32.26,23.81,14.53,35.46,26.18,15.97,1,3278.5592,7
8,0.65,1.09,0.93,34.26,-11.82,14.89,3,45.97,34.76,25.19,15.98,37.98,27.53,17.46,1,3809.6172,7
8,1.02,1.94,1.69,16.6,-13.25,1.64,4.7,43.77,44.71,30.22,19.57,47.97,32.42,21,1,4389.408,7
8,1.38,3.73,2.95,38.97,-7.56,15.55,4.2,41.65,52.72,33.79,21.96,56.01,35.9,23.33,1,4830.784,7
8,1.42,3.62,2.85,33.01,-7.32,18.44,4.4,41.09,55.77,35.06,22.92,59.07,37.13,24.27,1,5396.54,7
8,1.39,3.6,2.82,21.33,-4.82,9.23,7.5,41.4,55.89,35.08,23.14,59.33,37.24,24.56,1,6000.095,7
8,1.19,3.26,2.37,19.78,0.21,11.79,10,41.93,50.48,32.83,21.16,53.73,34.95,22.53,1,5783.1648,7
8,0.19,2.1,0.31,36.41,9.76,27.58,9.4,44.34,44.54,30.26,19.75,47.16,32.05,20.91,1,6780.7685,7
8,0.14,1.76,0.22,31.72,-6.08,22.07,7.8,44.45,42.05,29.25,18.69,43.76,30.44,19.45,1,7983.6209,7
8,0.1,0.85,0.14,45.67,7.5,33.51,6.8,48.53,23.15,18.51,11.24,25.07,20.04,12.17,1,7404.2461,7
8,0.16,0.76,0.22,69.63,4.31,44.63,4.5,49.71,22.48,18.13,11.17,23.98,19.34,11.92,1,9104.4087,7
8,0.1,0.65,0.13,183.22,16.18,141.65,2.7,51.9,20.04,16.55,10.4,21.07,17.41,10.94,1,9632.8039,7
8,0.06,0.52,0.08,354.27,15.74,275.01,1.4,53.05,18.4,15.46,9.76,19.06,16.01,10.11,1,9252.4275,7
8,0.02,0.5,0.02,2124.77,-4.85,1715.95,0.1,54.35,17.61,14.96,9.57,17.74,15.07,9.64,1,10039.2611,7
8,0.08,0.5,0.11,319.81,3.03,219.85,1,54.8,17.09,14.58,9.37,17.22,14.69,9.44,1,9298.1706,7
8,0.29,1.03,0.39,288.44,2.8,229.87,2,53.34,23.93,19.24,12.83,24.33,19.57,13.05,1,11204.6428,7
8,0.45,1.51,0.66,63.71,0.33,43.35,7.4,51.21,30.43,23.27,15.67,30.76,23.52,15.84,1,13227.2182,7
8,0.48,1.17,0.66,29.26,-10.13,21.72,15.4,48.09,29.77,22.9,14.39,30.02,23.09,14.51,1,16095.3484,7
8,0.37,0.99,0.49,56.75,13.98,44.58,14.2,48.33,31.44,23.89,15.19,31.59,24,15.27,1,15604.9167,7
8,0.03,0.71,0.04,68.1,25.75,57.48,15.6,49.6,25.39,20.24,12.59,25.44,20.28,12.62,1,18672.1249,7
8,-0.11,0.38,-0.13,40.62,15.96,35.33,26.9,55.11,16.35,14.05,9.01,16.4,14.09,9.04,1,12217.6883,7
8,-0.02,0.37,-0.02,154.29,-10.63,93.3,3.1,56.32,16.34,14.04,9.2,16.39,14.08,9.23,1,8458.1573,7
8,0.02,0.44,0.02,198.26,-15.12,81.28,1.7,57.3,15.71,13.58,9,15.71,13.58,9,1,8541.5496,7
8,0.19,0.96,0.28,396.88,-5.62,210.1,1.1,54.81,23.07,18.75,12.65,23.07,18.75,12.65,1,10365.1578,7
8,0.2,1.5,0.37,69.86,4.36,40.89,8.5,56.61,21.29,17.55,12.05,21.29,17.55,12.05,1,10991.9817,7
8,0.13,1.07,0.22,63.54,26.39,42.22,13.2,57.59,18.42,15.56,10.61,18.42,15.56,10.61,1,10358.4535,7
8,0.01,0.83,0.02,53.34,11.26,29.24,12.1,57.36,16.3,14.02,9.35,16.3,14.02,9.35,1,10759.41,7
8,0.07,0.95,0.12,77.64,-95.55,51.86,10,56.72,13.42,11.43,7.61,17.38,14.81,9.86,1,12706.0617,7
8,-0.16,0.75,-0.25,53.01,-24.55,35.31,14.9,57.38,10.96,9.54,6.29,14.9,12.97,8.55,1,8545.9276,7
8,-0.17,0.38,-0.28,37.91,-25.12,9.96,10.6,62.09,2.84,2.66,1.77,6.83,6.39,4.24,1,10798.1316,7
8,-0.3,0.37,-0.51,150.59,20.35,88.03,5.3,61.05,2.74,2.57,1.67,6.58,6.17,4.01,1,10925.8091,7
8,-0.12,0.5,-0.22,386.16,3.8,230.4,2.1,62.03,8.51,7.84,5.28,8.51,7.84,5.28,1,9769.1702,7
8,-0.05,0.81,-0.08,439.74,-13.04,268.23,1.5,57.97,12.32,10.97,7.14,12.32,10.97,7.14,1,10434.0116,7
8,0.42,1.44,0.76,96.08,-46.15,34.33,6,51.03,25.11,20.07,12.81,25.11,20.07,12.81,1,11352.6904,7
8,0.42,1.7,0.8,54.6,-8.16,27.98,13.6,51.48,27.44,21.53,14.12,27.44,21.53,14.12,1,12170.7526,7
8,0.69,2.11,1.35,55.99,-1.43,30.75,15.1,48.52,33.35,24.97,16.18,33.54,25.12,16.27,1,11379.6726,7
8,0.43,1.76,0.86,40.23,-0.47,21,20.5,50.99,28.97,22.42,14.77,29.21,22.61,14.89,1,11278.791,7
8,0.6,1.98,1.23,27.92,-7.68,9.61,22.6,49.09,34.16,25.41,16.77,34.47,25.63,16.92,1,11899.4146,7
8,0.79,2.35,1.65,31.23,-7.48,14.73,24,47.31,41.13,29.07,19.46,41.5,29.33,19.64,1,11280.0248,7
8,0.91,2.84,2.03,27.89,-1.28,11.91,28.7,46.99,45.08,30.98,21.18,45.5,31.27,21.38,1,11804.9548,7
8,0.93,3.01,2.16,31.16,-1.21,14.32,29.6,47.08,47.44,32.07,22.34,47.91,32.39,22.56,1,10101.2275,7
8,0.4,2.14,0.95,24.7,-1.35,8.2,33.4,51.27,29.37,21.79,15.05,34.79,25.81,17.84,1,8967.2754,7
8,0.42,2.71,1.29,14.4,-14.23,-2.73,28.1,54.12,31.59,23.96,17.09,31.85,24.16,17.24,1,8293.3561,7
10,5.54,57.41,56.45,4.13,-0.53,1,15,88.36,28.41,22.07,25.28,28.73,22.32,25.57,1,1885.6809,7
10,4.04,15.68,14.49,5,2.44,1.72,18,48.67,48.34,32.36,23.82,49.41,33.07,24.34,1,2144.843,7
10,3.8,9,8.79,8.13,6.31,5.25,16,54.43,47.6,32.09,26.17,48.35,32.59,26.58,1,2057.617,7
10,3.8,9.25,9.01,3.44,1.75,0.75,16,47.58,55.32,35.37,26.61,56.39,36.06,27.13,1,2043.9568,7
10,4.27,9.94,9.58,5,2.15,2,20,44.22,67.71,39.62,30.26,70.91,41.49,31.69,1,2678.4611,7
10,2.97,5.95,5.56,13.31,9.62,8.38,13,43.16,59.73,36.82,26.05,62.2,38.35,27.13,1,4095.9486,7
10,2.25,4.46,3.87,14.27,12.2,10.27,15,45.1,53.37,34.27,24.07,55.75,35.8,25.14,1,4708.2926,7
10,1.48,2.89,2.23,15.94,12.81,11.81,16,45.62,51.65,33.58,23.56,53.8,34.98,24.55,1,4626.9212,7
