Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
2,3.36,8.51,8.27,3.58,2.24,1.43,166.9,27.86,161.91,60.86,45.23,166.03,62.41,46.38,2,8031.5384,8
2,3.44,9.02,8.79,3.21,1.6,1.09,165.8,27.22,170.65,62.84,46.59,171.56,63.18,46.84,2,6080.2871,8
2,3.46,9.23,8.86,3.46,2.7,1.4,165.2,25.52,183.61,64.26,47,185.72,65,47.53,2,5124.9092,8
2,3.5,9.67,9.24,3.43,2.07,1.26,164.9,25.48,173.06,60.01,44.22,188.39,65.32,48.14,2,4163.795,8
2,3.51,9.34,8.88,3.34,2.3,1.56,172.1,25.17,177.08,60.79,44.74,191.32,65.67,48.33,2,3824.2588,8
2,3.39,9.02,7.9,3.33,2.14,1.6,172.2,24.04,191.89,62.76,46.29,205.75,67.29,49.64,2,4907.3965,8
2,3.38,9.06,7.71,3.02,1.94,1.32,178.9,23.16,203.48,64.17,47.27,217.09,68.46,50.43,2,4273.1948,8
2,3.37,8.18,7.33,3.23,2.13,1.46,171.4,23.88,205.6,66.97,49.2,207.02,67.43,49.54,2,3982.5427,8
2,3.41,7.94,7.4,3.39,2.56,1.6,166.5,23.7,200.79,65.33,47.6,207.34,67.46,49.15,2,4052.1181,8
2,3.48,8.49,7.81,3,2.04,1.26,163.8,23.68,201.92,65.45,47.82,208.53,67.59,49.38,2,4177.9811,8
2,3.37,8.29,7.39,3.26,2.35,1.56,165.6,24.38,194.15,64.61,47.33,200.51,66.72,48.88,2,4647.4983,8
2,3.41,8.5,7.5,2.97,2.12,1.32,171,24.27,194.18,64.02,47.14,203.33,67.03,49.36,2,5718.0131,8
2,3.49,8.66,7.78,2.97,2.03,1.34,167.6,24.37,194.03,64.53,47.29,200.69,66.74,48.91,2,5852.445,8
2,4.31,10.44,9.55,2.69,1.55,1.16,170.4,22.07,235.98,68.85,52.07,242.73,70.82,53.56,2,6523.5473,8
2,4.6,11.82,10.99,2.66,1.49,0.92,186.6,19.45,256.78,70.36,49.94,264.93,72.6,51.52,2,6686.4682,8
16,1.42,3.15,2.86,10.76,3.79,4.99,636,24.49,47.98,30.05,18.93,59.67,37.37,23.55,1,99360.5811,8
16,1.42,3.15,2.91,11.57,3.62,5.45,590,24.36,44.16,27.88,17.42,58.4,36.87,23.04,1,97078.2481,8
16,1.38,3.09,2.84,12.49,4.52,6.18,572,24.92,40.86,26.11,16.24,56.48,36.09,22.45,1,108401.6028,8
16,1.09,2.67,2.26,13.32,3.8,6.67,551,25.71,37.26,25.3,15.17,47.3,32.11,19.26,1,108424.4625,8
16,1.09,2.44,2.2,15.11,5.33,7.83,485,26.47,35.98,24.91,15.23,44.45,30.77,18.82,1,110095.5515,8
16,1.02,2.15,1.99,16.97,5.88,9.12,455,26.97,36.7,26.1,15.9,40.64,28.9,17.6,1,119497.5881,8
16,0.98,1.99,1.87,17.37,6.37,9.36,450,26.77,36.31,26.15,15.83,38.86,27.99,16.94,1,127983.6914,8
16,0.9,1.89,1.68,18.21,6.06,9.86,439,27.05,34.03,24.73,15.09,37.6,27.32,16.67,1,125688.4458,8
16,0.9,2.11,1.67,17.24,6.79,9.44,459,26.28,38.4,26.88,16.8,42.84,29.99,18.74,1,103905.4018,8
16,1.29,2.48,2.36,20.17,4.83,11.28,403,25.36,39.5,26.26,16.83,50.41,33.51,21.49,1,100809.7021,8
16,1.35,2.58,2.48,17.78,5.52,9.48,440,24.87,43.15,28.47,18.29,51.56,34.02,21.86,1,91151.1409,8
16,1.32,3.08,2.47,14.66,5.64,7.41,517,20.61,59.51,35.89,23.21,65.84,39.7,25.67,1,96293.632,8
16,2.01,4.01,3.76,9.43,3.59,5.07,925,18.45,69.11,37.19,24.54,85.82,46.19,30.48,1,85785.3324,8
16,1.95,3.79,3.72,10.81,4.05,5.61,787,18.97,71.8,40.26,26.43,78.37,43.94,28.85,1,87292.0515,8
16,1.85,3.71,3.61,11.59,4.07,5.66,704,19.07,67.83,38.92,25.34,74.27,42.62,27.75,1,85986.4176,8
16,1.83,3.88,3.72,10.49,4.04,4.3,686,18.24,65.43,37.6,24.26,73.99,42.52,27.44,1,93945.6848,8
16,1.79,3.9,3.67,12.59,5.67,6.53,680,17.8,64.29,37.22,23.94,72.71,42.1,27.07,1,87685.2402,8
16,1.83,4.87,4.43,6.76,0.43,0.6,679,17.35,58.71,34.94,21.92,68.03,40.49,25.4,1,79205.3021,8
16,1.7,4.75,4.22,12.41,3.06,5.67,597,17.17,55.97,34.37,21.44,62.83,38.59,24.07,1,92124.8459,8
16,1.47,3.61,3.12,18.51,6.9,11.31,567,17.53,52.07,32.37,20.57,60.83,37.82,24.03,1,101150.8872,8
16,1.5,4.18,3.17,11.96,5,6.28,709,17.09,55.56,32.9,21.65,68.87,40.78,26.83,1,109032.6748,8
16,1.33,2.82,2.46,12.56,5.33,6.82,717,17.59,52.83,33.12,21.42,59.51,37.31,24.13,1,105382.5258,8
16,1.2,2.69,2.16,12.64,5.66,6.66,698,17.13,52.89,32.5,20.3,62.75,38.56,24.08,1,104184.1361,8
16,1.4,4.29,3.2,4.36,-0.7,-1.58,703,15.61,58.55,35.64,21.83,64.28,39.13,23.96,1,113761.2292,8
16,1.5,3.79,3.31,13.46,7.51,7.58,685,16.45,54.82,34.62,21.75,58.35,36.85,23.15,1,108612.6765,8
16,1.35,3.64,2.89,14.4,7.95,8.32,679,16.43,51.4,32.54,20.56,57.94,36.68,23.17,1,126604.0883,8
16,1.34,3.47,2.79,15.27,6.85,8.68,632,16.29,50.17,31.95,20.11,57,36.31,22.85,1,130053.1227,8
16,1.64,3.96,3.68,1.68,-4.27,-5.51,575,14.72,55.67,34.61,21.14,60.85,37.83,23.11,1,123690.2858,8
16,1.52,3.73,3.29,19.26,9.44,11.59,537,14.73,47.94,29.89,18.57,60.37,37.65,23.38,1,140623.9209,8
16,1.5,3.3,3.14,20.83,9.56,12.75,514,15.25,47.95,30.52,18.71,57.08,36.34,22.28,1,144055.2724,8
16,1.26,5.92,2.5,20.33,9.52,12.84,555,12.64,100.75,48.01,32.87,109.83,52.34,35.83,1,133572.2168,8
16,0.81,2.93,1.23,15.31,9.07,11.37,1061,14.17,93.97,47.44,32.71,98.09,49.52,34.15,1,140638.68,8
16,2.14,3.34,3.23,9.31,5.29,5.9,1214,5.74,776.96,87.05,48.57,792.5,88.8,49.54,1,196994.4568,8
16,2.04,3.23,3.04,10.18,6.45,6.6,1164,6.64,672.6,85.48,47.99,686.85,87.29,49,1,202826.2083,8
16,2.01,3.23,3,8.81,5.2,5.49,1255,7.33,598.99,84.61,47.56,607.91,85.87,48.27,1,207444.6881,8
16,2.83,5.78,5.21,1.51,-1.98,-1.67,1282,5.29,808.25,87.07,47.52,828.25,89.23,48.69,1,194369.2271,8
16,2.95,5.56,5.32,8.97,5.99,5.98,1332,3.96,1012.63,87.76,46.21,1053.89,91.33,48.09,1,198336.8265,8
16,3,5.54,5.37,9.77,5.31,6.47,1208,4.74,850.28,86.5,45.47,882.95,89.83,47.21,1,189501.8793,8
16,2.91,5.3,5.11,9.6,5.16,6.27,1202,5.43,722.46,82.81,43.4,772.41,88.54,46.4,1,177036.6702,8
16,2.15,3.33,3.19,11.7,6.3,8.27,1178,6.72,581.24,81,42.39,617.61,86.06,45.04,1,188262.1596,8
16,2.12,3.33,3.15,10.07,6.32,6.69,1188,7.62,515.42,79.71,42.36,546.59,84.53,44.92,1,220445.658,8
16,2.11,3.35,3.25,8.43,3.88,4.5,1013,8.3,447.95,77.13,40.08,480.74,82.78,43.01,1,227620.6944,8
35,0.69,1.36,1.26,82.15,43.18,42.27,4.5,28.43,210.79,67.82,59.93,210.79,67.82,59.93,2,814.1937,8
35,3.46,5.67,5.29,4.31,3.31,2.95,91.4,7.39,908.66,89.77,67.11,912.18,90.12,67.37,2,6288.992,8
35,3.48,5.4,5.02,3.24,2.53,2.85,109.7,5.85,1161.39,91.57,67.94,1168.24,92.12,68.34,2,6780.096,8
35,3.35,5.25,4.86,3.48,2.79,2.39,114.7,5.78,1184.33,91.6,68.45,1192.91,92.27,68.94,2,7011.537,8
35,3.19,4.77,4.35,3.9,2.97,2.72,108.1,5.91,1148.79,91.23,67.94,1159.2,92.06,68.56,2,7046.424,8
35,3.52,4.86,4.8,3.86,3.01,2.65,109.6,5.55,1222.59,91.46,67.9,1236.74,92.52,68.68,2,6736.652,8
35,3.16,4.61,4.54,3.8,2.91,2.71,112,8.49,761.82,88.04,64.69,765.29,88.44,64.98,2,5917.59,8
35,3.14,4.52,4.48,4.01,3.46,2.84,105,7.31,897.97,89.61,65.61,902.05,90.02,65.91,2,5345.235,8
35,3.14,4.53,4.48,4.04,3.28,2.84,103.6,6.25,1064.05,91.03,66.47,1068.88,91.44,66.77,2,5424.664,8
35,3.18,4.62,4.53,3.83,2.98,2.63,103.3,6.71,993.6,90.48,66.64,998.09,90.89,66.94,2,4807.036,8
35,3.1,4.69,4.43,3.89,2.94,2.71,104.5,3.15,2123.74,95.09,66.9,2133.37,95.52,67.2,2,4042.48,8
35,3.16,4.88,4.6,3.86,3.21,2.53,99.7,2.82,2399.24,95.58,67.74,2410.08,96.02,68.05,2,3532.698,8
35,3.18,4.97,4.74,3.86,3.07,2.5,97.8,2.91,2297.7,95.4,66.78,2308.39,95.85,67.09,2,3650.812,8
35,3.23,5.2,4.91,3.68,2.98,2.31,97.5,2.44,2739.2,96.05,66.93,2751.9,96.49,67.24,2,4408.576,8
35,3.5,6.58,5.47,3.24,2.44,2.04,115.2,2.85,2405.6,95.66,68.57,2414.73,96.02,68.83,2,4800.432,8
35,3.78,6.62,6.01,3.27,2.77,2.01,123,4.32,1555.4,93.56,67.19,1562.42,93.98,67.49,2,4972.374,8
35,4.2,6.86,6.8,3.41,2.6,2.06,123.6,6.36,1022.75,90.74,65.07,1027.13,91.13,65.35,2,5102.592,8
35,3.96,6.65,6.49,3.4,2.53,2.04,132.3,6.07,1065.29,89.78,64.7,1086.5,91.57,65.99,2,5943.4637,8
35,4.29,7.29,7.25,2.97,1.98,1.63,142.8,7.35,864.81,88.11,63.58,881.56,89.81,64.81,2,7029.942,8
35,4.12,7.07,7.04,3.39,2.3,1.99,146.5,7.1,905.23,88.54,64.23,922.34,90.22,65.44,2,6568.8,8
