Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
33,4.11,6.55,5.67,8.27,7.51,7.22,156,20.43,316.29,75,65.57,321.74,76.29,66.7,2,8620.9845,3
33,4,5.67,5.31,3.59,2.69,2.53,154,18.38,323.03,75.33,60.31,328.83,76.68,61.39,2,8451.9176,3
33,4.09,5.83,5.43,2.19,1.14,1.08,154,17.15,359.44,77.2,62.67,365.59,78.52,63.74,2,8549.6604,3
33,4.42,6.21,5.98,2.35,1.57,1.27,158,16.58,382.97,78.23,64.72,389.57,79.57,65.84,2,6497.0956,3
33,5.78,9.54,9,4.04,3.15,2.93,159,17.62,357.05,77.08,64.06,363.25,78.41,65.17,2,5224.3465,3
33,6.94,14.14,13.08,1.66,-1.22,0.14,157,16.51,374.74,77.79,63.02,381.72,79.24,64.19,2,5160.8992,3
33,7.73,17.16,16.81,1.46,0.6,0.02,157,15.62,392.6,78.6,62.55,399.5,79.98,63.65,2,5446.4456,3
33,7.72,18.77,18.42,2.38,-1.5,0.89,157,16.07,394.44,78.71,64.76,401.12,80.04,65.86,2,5297.3142,3
47,2.9505,6.1907,5.7124,4.0437,2.3424,1.8415,205.103,17.8971,167.1036,53.7743,34.421,210.7501,67.8198,43.4116,1,9287.7873,3
47,3.1553,6.9852,6.3694,4.823,-5.6715,2.6842,239.814,16.2702,172.2466,55.2936,35.0227,211.5126,67.8986,43.0066,1,8441.4702,3
47,4.8119,10.3427,10.0525,3.0061,16.19310997,1.1905,274.328,14.3835,257.1806,61.3622,40.2854,319.1189,76.1404,49.9876,1,9092.4861,3
47,4.2864,9.2608,8.7704,3.142,2.0476,1.615,323.685,13.7799,203.0257,56.5232,37.2183,259.1897,72.1596,47.5141,1,5599.1157,3
