Rating,Ending Date,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Number Rating,Rating Change,Market Cap,,,,
A3,34789,1.02,4.42,2.31,16.15,6.75,9.35,216,27.54,53.59,27.56,15.47,94.47,48.58,27.28,7,0,47687.0311,,,,
A3,34880,0.98,3.52,1.89,19.82,16.67,11.77,180,29.46,51.98,26.8,15.48,93.93,48.44,27.97,7,0,54597.4102,,,,
A1,34972,0.9,2.83,1.54,21.68,18.3,14.76,188,30.14,47.29,24.54,14.4,92.68,48.1,28.22,5,2,52760.7677,,,,
A1,35064,1.15,3.03,2.05,9.48,5.18,1.18,159,27.63,48.17,24.17,13.47,99.3,49.82,27.76,5,0,50052.8481,,,,
A1,35155,1.06,2.85,1.83,20.41,5.97,12.68,198,27.61,44.86,22.84,12.53,96.46,49.1,26.94,5,0,60038.4011,,,,
A1,35611,1.36,2.88,2.11,19.19,10.86,12.41,179,25.19,58.06,25.48,14.81,127.82,56.11,32.61,5,0,88649.054,,,,
A1,35703,1.42,2.92,2.19,17.38,10.11,10.95,183,24.91,68.96,29.68,17.4,132.32,56.96,33.39,5,0,103050.1282,,,,
A1,35795,1.37,2.96,2.13,22.93,7.89,15.63,194,24.01,69.12,29.3,16.81,135.88,57.61,33.04,5,0,100240.2712,,,,
A1,35885,1.58,3.14,2.47,15.5,9.48,8.67,179,23.88,79.67,32.28,19.28,146.81,59.48,35.53,5,0,98982.6929,,,,
A1,35976,1.64,3.2,2.57,20.05,11.82,13.13,161,23.76,78.54,31.42,18.92,149.98,60,36.13,5,0,107127.2943,,,,
A1,36068,1.67,3.21,2.55,19.24,9.42,13.56,160,23.06,81.78,32.35,19.12,152.81,60.44,35.72,5,0,118586.4807,,,,
A1,36525,1.22,2.38,1.89,25.02,9.89,17.67,171,23.16,68.86,28.9,16.14,138.24,58.03,32.41,5,0,192472.2947,,,,
A1,36616,1.34,2.36,2.06,22.11,16.66,14.03,152,23.28,73.24,30,17.27,144.17,59.04,34,5,0,209859.5841,,,,
A1,36707,1.67,2.76,2.45,44.58,31.37,32.46,84,22.82,87.93,34.87,20.32,152.15,60.34,35.17,5,0,192907.2367,,,,
A1,36799,1.71,2.75,2.46,21.74,15.96,15.38,183,23.01,95.54,38.18,22.27,150.26,60.04,35.02,5,0,197586.938,,,,
A1,36891,1.51,2.46,2.14,17.87,7.41,13.29,298,23.06,89.08,37.34,20.79,138.56,58.08,32.34,5,0,149846.4191,,,,
A1,36981,1.51,2.46,2.13,49.66,28.57,32.04,70,25.03,83.49,35.63,21.14,134.32,57.32,34.01,5,0,169028.3663,,,,
A1,37437,1.85,3.58,3.09,70.24,31.81,23.76,33,25.41,76.05,34.44,19.32,120.78,54.71,30.69,5,0,121991.2559,,,,
A1,37529,1.71,3.55,2.83,94.24,51.36,62.44,34,26.31,80.45,37.15,21.17,116.53,53.82,30.66,5,0,98549.032,,,,
A1,37621,1.79,3.83,2.95,67.19,26.23,53.06,48,23.61,87.73,40.96,20.71,114.2,53.31,26.97,5,0,133483.4344,,,,
A1,37711,1.73,3.55,2.78,73.47,51.84,45.58,40,25.67,81.54,39.77,20.93,105.01,51.22,26.96,5,0,135527.04,,,,
A1,37802,1.4,2.71,2.05,85.07,53.76,56.39,41,27.41,71.4,37.63,19.57,89.73,47.29,24.6,5,0,142739.935,,,,
A1,37894,1.29,2.59,1.9,102.39,74.54,66.73,33,28.12,62.54,33.94,17.58,84.26,45.73,23.69,5,0,151964.9613,,,,
A1,37986,1.08,2.34,1.58,160.77,86.69,121.03,31,26.68,60.96,32.99,16.26,84.81,45.89,22.62,5,0,157047.0972,,,,
