Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating 1 Q Ahead,Market Cap,Industry_Number
0,0.84,1.58,1.03,51.56,39.63,41.51,117,17.98,120.44,46.73,21.76,157.73,61.2,28.49,0,223503.8551,0
0,0.87,1.69,1.08,44.2,35.98,34.6,124,18.61,112.3,43.97,21.02,155.38,60.84,29.08,0,234404.488,0
0,1.21,2.08,1.5,71.79,4.49,61.04,113,18.06,143.29,52.45,26.03,173.22,63.4,31.47,0,197772.1081,0
0,1.48,2.37,1.85,39,25.76,28.13,105,13.54,207.1,57.09,28.27,262.72,72.43,35.86,0,194835.1888,0
0,1.5,2.35,1.86,46,38.47,37.43,136,13.98,194.19,53.15,27.36,265.35,72.63,37.38,0,180833.531,0
0,1.52,2.38,1.88,42.68,34.46,33.64,126,11.99,227.99,54.62,27.6,317.43,76.04,38.43,0,187867.2472,0
0,1.45,2.29,1.81,56.02,47.52,47.08,117,10.12,291.25,66.35,29.84,338.95,77.22,34.72,0,158919.6319,0
0,1.37,2.2,1.7,34.81,26.39,25.85,108,10.84,279.05,67.09,30.61,315.92,75.96,34.66,0,158049.8178,0
0,1.45,2.35,1.82,42.37,34.54,34.01,115,12.14,240.94,63.5,29.57,279.45,73.65,34.3,0,159330.3218,0
0,1.54,2.54,1.93,37.21,28.86,29.21,117,12.24,238.81,60.48,29.56,294.85,74.67,36.5,0,140636.865,0
0,1.68,2.66,2.11,45.92,38.82,38.19,128,12.91,231.75,61.55,30.25,276.55,73.44,36.1,0,132903.5871,0
0,1.77,3.39,2.28,15.24,8.68,8.27,147,12.56,267.08,66.39,33.87,302.26,75.14,38.33,0,145386.2225,0
1,2.48,4.55,4.27,8.66,4.65,5.43,83,37.47,58.29,36.47,24.64,59.82,37.43,25.29,1,27985.1692,7
1,2.99,5.82,5.43,7.81,4.15,4.69,95,36.58,66.08,39.41,27.21,67.7,40.37,27.87,1,16294.417,7
1,3.08,5.57,5.34,5.86,1.48,2.88,97,33.12,74.56,42.45,28.06,75.65,43.07,28.47,1,19244.9761,7
1,3.08,5.54,5.3,7.92,5.61,4.66,88,33.03,75.72,42.86,28.57,76.65,43.39,28.92,1,16380.8814,7
1,2.79,5.19,4.91,8.91,5.57,5.15,81,33.58,66.74,39.8,25.82,67.68,40.36,26.18,1,21575.149,7
1,2.72,5,4.75,10.28,6.65,6.27,74,35.7,61.76,37.81,24.71,63.36,38.79,25.35,1,22637.6849,7
1,2.32,4.32,3.98,9.93,5.35,5.52,71,37.9,49.88,32.35,21.1,54.2,35.15,22.93,1,33002.6591,7
1,2.24,3.97,3.73,13.61,9.55,8.84,64,38.13,49.68,32.36,21.13,53.55,34.87,22.77,1,30159.8622,7
1,1.97,3.37,3.14,13.41,8.6,9.01,69,38.59,46.63,30.94,19.99,50.7,33.64,21.73,1,28730.6746,7
1,1.83,3.15,2.89,12.37,6.69,7.9,67,38.69,43.89,29.7,18.91,47.78,32.33,20.58,1,29239.3794,7
1,1.73,2.9,2.69,10.53,3.53,6.31,72,40.62,36.32,25.43,16.39,42.8,29.97,19.32,1,27366.1942,7
1,1.97,3.29,3.07,11.86,7.41,7.76,78,39.59,36.14,24.11,15.62,49.93,33.3,21.58,1,26504.3032,7
1,1.56,2.31,2.17,15.99,8.55,12.67,98,40.16,32.45,22.07,14.42,47.06,32,20.91,1,28052.504,7
1,1.49,2.16,2,12.21,2.6,9.03,101,40.35,27.39,18.4,12.25,48.88,32.83,21.86,1,24313.4753,7
1,1.24,1.74,1.62,13.68,1.34,10.18,93,39.2,35.97,24.97,15.89,44.03,30.57,19.46,1,26040.8637,7
1,1.32,1.81,1.71,17.98,5.37,14.31,83,40.42,36.33,25.11,16.6,44.68,30.88,20.41,1,29476.8601,7
1,1.23,1.88,1.61,17.05,4.17,13.36,86,41.82,33,23.3,15.61,41.65,29.4,19.7,1,35829.8994,7
1,1.16,1.87,1.54,6.94,0.52,4.7,151,40.46,34.72,24.64,16.15,40.91,29.03,19.03,1,33179.559,7
1,1.57,2.25,2.11,9.75,-1.86,6.22,81,41.13,34.48,24.07,16.42,43.26,30.19,20.6,1,30241.5358,7
1,1.85,2.71,2.59,11.03,2.47,7.81,99,40,34.79,23.84,16.34,45.91,31.47,21.56,1,29391.8799,7
1,1.91,3.05,2.76,13.31,2.21,9.72,87,40.88,34.67,24.05,16.65,44.15,30.63,21.21,1,28973.1324,7
1,2.3,3.62,3.32,10.43,0.57,7.03,96,38.45,47.01,29.96,21.44,56.89,36.26,25.95,1,18071.1662,7
1,2.95,5.09,4.72,0.57,-3.24,-1.72,125,30.88,59.37,34.16,22.5,73.81,42.46,27.97,1,9011.5736,7
1,4.83,15.16,13.48,-3.07,-5.1,-5.55,114,33.54,60.97,36.22,24.67,68.32,40.59,27.65,1,7151.1814,7
1,14.71,-1000000,-1000000,-0.71,-3.07,-3.47,115,33.9,60.25,36.32,24.93,65.88,39.72,27.27,1,10064.3824,7
1,118.51,-1000000,-1000000,3.64,0.41,0.79,120,34.59,55.91,34.49,23.8,62.11,38.31,26.44,1,12783.8247,7
1,68.67,-1000000,-1000000,0.97,-1.65,-2.08,121,32.14,58.08,35.52,23.43,63.52,38.85,25.63,1,15706.9866,7
1,9.61,-1000000,-1000000,3.47,1.33,0.43,118,33.34,56.31,34.85,23.59,61.56,38.1,25.79,1,14536.4652,7
1,5.1,43.56,37.58,5.84,3.42,2.78,119,33.65,52.66,32.44,22.19,62.32,38.39,26.27,1,10273.316,7
