Data Date,Company Number,Long-term Debt/Invested Capital,Total Debt/Invested Capital,Receivables/Current Assets,Total Debt/Total Assets,Total Debt/EBITDA,Long-term Debt/Total Liabilities,Cash Flow/Total Debt,Long-term Debt/Book Equity,Total Debt/Total Assets,Total Debt/Capital,Total Debt/Equity,Interest Coverage Ratio,Quick Ratio (Acid Test),Current Ratio,Cash Conversion Cycle (Days),Rating 1Q Number,Sector Number
20050331,147,0.568,0.605,0.639,0.409,2.848,0.543,0.151,1.09,0.708,0.613,2.534,3.672,0.864,0.89,28.59,2,5
20020930,167,0.188,0.189,0.51,0.156,4.129,0.475,0,0.219,0.328,0.215,0.507,2.594,0.656,0.794,18.313,2,1
20060331,89,0.425,0.442,0.375,0.274,2.358,0.41,0.127,0.43,0.643,0.466,1.804,4.56,1.264,1.336,7.906,2,5
20000331,85,0.181,0.301,0.327,0.163,1.26,0.176,0.092,0.197,0.556,0.353,1.253,13.351,1.045,1.368,77.493,1,6
20000331,44,0.104,0.217,0.593,0.112,0.602,0.099,0.194,0.11,0.539,0.362,1.187,19.907,0.611,0.836,2.406,0,3
20050930,26,0.673,1.016,0.633,0.547,4.383,0.44,-0.112,2.061,0.824,0.782,4.689,4.289,0.938,1.247,158.579,1,5
20010930,171,0.333,0.333,0.489,0.186,1.305,0.296,0.098,0.499,0.628,0.394,1.686,7.66,1.147,1.647,89.737,2,7
20010630,136,0.327,0.335,0.39,0.243,1.61,0.464,0,0.471,0.512,0.404,1.08,5.838,1.245,2.264,152.39,2,5
20031231,13,0.253,0.331,0.455,0.236,1.551,0.384,0.225,0.326,0.468,0.358,0.881,5.895,1.152,1.939,144.492,1,3
20060630,146,0.669,0.672,0.689,0.325,1.648,0.385,0.067,2.025,0.84,0.732,5.26,5.343,1.293,1.418,193.889,3,1
20020331,164,0.368,0.377,0.167,0.298,1.185,0.583,0.449,0.583,0.5,0.422,1.001,9.049,0.322,0.935,14.229,3,2
19950531,77,0.43,0.775,0.308,0.416,2.874,0.333,0.067,0.719,0.694,0.622,2.266,4.775,0.42,1.031,124.509,1,2
20051031,20,0.289,0.43,0.181,0.247,1.887,0.28,0.117,0.405,0.591,0.493,1.448,6.104,0.537,1.812,103.485,3,1
19990630,34,0.233,0.234,0.592,0.137,0.789,0.249,0.254,0.302,0.55,0.364,1.224,32.21,1.472,1.472,0,2,6
19970930,63,0.265,0.273,0.215,0.214,1.704,0.491,0.11,0.353,0.423,0.319,0.733,0.176,2.523,2.873,53.349,4,6
20100930,54,0.293,0.35,0.371,0.264,1.292,0.474,0.309,0.415,0.466,0.376,0.877,7.74,2.283,2.828,95.122,1,3
19971231,118,0.383,0.422,0.258,0.331,3.537,0.584,0.09,0.834,0.515,0.521,1.494,4.371,2.272,2.833,133.968,1,4
19970630,149,0.536,0.536,0.627,0.437,2.263,0.703,0.273,1.103,0.621,0.581,1.64,2.635,1.502,1.507,0,4,3
20140930,27,0.543,0.572,0.513,0.411,2.924,0.581,0.161,0.93,0.672,0.569,2.047,2.009,0.813,0.846,0,3,8
20021231,96,0.66,0.667,0.535,0.619,5.179,0.894,0.051,1.941,0.685,0.668,2.171,0.293,2.436,2.714,67.81,4,3
20000930,141,1.476,1.542,0.448,0.75,4.885,0.583,0.07,0,1.231,1.313,-5.32,1.521,0.788,1.249,26.653,4,4
20071231,103,0.151,0.151,0.241,0.097,0.84,0.216,0.114,0.175,0.452,0.214,0.839,11.878,1.049,1.591,64.223,2,5
20050930,47,0.899,1.096,0,0.619,8.593,0.538,0.089,7.085,0.943,0.922,17.609,0.901,0,0,201.237,3,1
20031231,121,0.47,0.512,0.374,0.358,2.977,0.521,0.126,0.754,0.63,0.542,1.7,2.899,0.631,1.497,35.591,2,2
19950331,10,2.574,2.653,0.304,0.199,2.929,0.172,0.034,0,1.118,1.873,-9.379,2.519,1.201,1.643,67.091,4,7
20030331,158,0.491,0.5,0.679,0.426,3.134,0.738,0.179,0.938,0.566,0.518,1.304,4.009,1.707,1.892,54.002,3,4
20021231,169,0.156,0.195,0.194,0.156,1.075,0.384,0.356,0.17,0.325,0.218,0.481,13.054,1.582,2.452,202.813,2,4
20061231,93,0.442,0.446,0.426,0.259,3.441,0.381,-0.065,0.788,0.675,0.641,2.079,7.461,0.895,1.889,35.93,2,4
20090930,32,0.576,0.627,0.418,0.348,0.931,0.418,0.282,1.383,0.765,0.669,3.466,42.088,0.863,1.242,51.874,0,2
20010930,3,0.673,0.719,0.257,0.313,1.646,0.341,0.03,2.062,0.858,0.709,6.041,11.6,1.179,1.411,194.261,1,4
19980630,120,0.141,0.262,0,0.177,0.765,0.226,0.176,0.159,0.42,0.399,0.724,13.319,0,0,50.699,2,5
20040930,27,0.466,0.485,0.523,0.397,2.467,0.677,0.242,0.842,0.563,0.486,1.289,3.524,0.794,0.809,14.024,2,8
20010930,6,0.267,0.431,0.629,0.273,3.489,0.316,0.099,0.298,0.536,0.4,1.205,2.095,0.476,0.476,4.86,2,8
20140630,121,0.225,0.245,0.286,0.169,0.963,0.335,0.221,0.272,0.464,0.351,0.868,13.974,0.923,2.006,31.601,2,2
20000331,132,0.092,0.094,0.366,0.076,0.236,0.28,0.617,0.099,0.266,0.148,0.362,50.855,2.855,3.375,105.225,2,6
20040331,0,0.248,0.38,0.313,0.238,1.263,0.295,0.275,0.33,0.529,0.386,1.122,21.249,1.008,1.375,130.5,0,4
20130228,137,0.188,0.189,0.133,0.155,1.169,0.458,0.453,0.222,0.335,0.195,0.505,14.661,3.329,3.329,0,2,6
20000331,47,0.827,0.965,0,0.566,4.691,0.54,0.12,3.718,0.899,0.86,8.895,1.93,0,0,265.88,1,1
19990930,14,0.493,0.547,0.397,0.331,2.283,0.43,0.137,0.843,0.694,0.61,2.265,5.652,1.144,1.62,178.09,1,4
20090930,49,0.235,0.279,0.306,0.136,0.933,0.183,0.17,0.303,0.627,0.372,1.678,25.972,0.569,1.222,98.828,1,5
19961231,149,0.712,0.712,0.729,0.545,3.414,0.699,0.273,1.943,0.779,0.758,3.534,2.466,1.295,1.306,0,4,3
19971130,115,0.165,0.172,0.397,0.122,0.658,0.288,0.481,0.198,0.408,0.304,0.689,13.496,1.65,2.504,73.504,2,6
20050930,164,0.009,0.014,0.099,0.01,0.05,0.025,0.785,0.009,0.277,0.082,0.383,47.148,1.19,1.607,13.502,2,2
20120630,62,0.512,0.527,0.318,0.385,4.682,0.581,0.028,1.024,0.644,0.574,1.807,1.676,1.759,2.951,97.201,3,5
19970331,54,0.107,0.127,0.735,0.068,0.361,0.111,0.198,0.12,0.519,0.256,1.077,22.845,1.432,1.655,75.205,1,3
20121231,79,0.227,0.287,0.22,0.194,1.18,0.321,0.198,0.277,0.477,0.296,0.956,14.964,1.544,1.9,228.354,0,4
20000630,15,0.457,0.634,0.676,0.36,1.241,0.375,0.231,0.819,0.692,0.653,2.902,4.376,0.598,0.641,15.813,1,8
20090930,21,0,0,0.501,0.374,2.219,0.223,0.06,0,1.491,-102.11,-2.994,2.624,0.982,1.071,39.182,4,6
19961231,64,0.313,0.725,0.569,0.281,1.797,0.166,0.173,0.429,0.733,0.561,2.751,12.09,1.024,1.197,124.653,1,6
20001231,171,0.336,0.336,0.478,0.181,1.109,0.282,0.098,0.505,0.642,0.407,1.79,6.577,1.129,1.582,76.92,2,7
20130331,26,0.609,0.895,0.436,0.447,3.298,0.378,0.073,1.552,0.805,0.731,4.132,7.354,0.888,1.426,186.806,1,5
20100630,128,0.483,0.535,0.58,0.365,3.879,0.51,0.131,0.966,0.647,0.548,1.859,2.841,1.564,1.771,82.436,2,6
20030331,160,0.398,0.401,0.532,0.328,2.67,0.643,0.145,0.668,0.507,0.49,1.043,4.632,1.947,3.16,52.574,3,5
20130630,164,0.007,0.007,0.096,0.005,0.021,0.016,0.617,0.007,0.295,0.067,0.419,2100.3,1.552,1.934,12.158,2,2
20091231,117,0,0,0.209,0,0,0,1.103,0,0.198,0.049,0.247,0,3.095,3.853,109.256,1,6
19980630,92,0.452,0.485,0.42,0.348,2.801,0.533,0,0.637,0.607,0.509,1.602,2.737,1.193,1.89,119.006,3,3
20071231,31,0.105,0.121,0.213,0.088,3.753,0.22,0.043,0.089,0.349,0.141,0.535,15.57,1.963,2.365,116.224,4,7
19990630,171,0.496,0.499,0.498,0.249,1.644,0.33,0.117,0.985,0.749,0.55,2.983,6.605,0.931,1.278,76.66,2,7
20030930,96,0.691,0.717,0.485,0.638,5.975,0.848,0.051,2.233,0.725,0.715,2.634,0.422,1.826,1.989,32.236,4,3
20020331,99,0.416,0.528,0.31,0.261,1.135,0.289,0.145,0.595,0.712,0.553,2.969,13.303,0.372,0.782,95.769,1,2
20130930,128,0.362,0.428,0.614,0.277,2.608,0.4,0.143,0.591,0.587,0.451,1.435,4.35,1.211,1.397,71.23,2,6
19970930,19,0.133,0.206,0.359,0.109,0.327,0.131,0.325,0.153,0.539,0.279,1.171,42.505,1.188,1.544,133.779,0,4
19950630,22,0.578,0.792,0.47,0.33,1.928,0.293,0.248,1.309,0.824,0.663,4.691,4.992,1.211,1.211,43.028,1,1
19970930,103,0.316,0.648,0.171,0.366,2.407,0.291,0.045,0.46,0.614,0.545,1.589,4.403,0.337,1.206,147.5,2,5
20000331,152,1.039,1.039,0.497,0.913,16.638,0.883,-0.005,0,1.034,1.044,-26.089,0.029,1.813,1.813,77.41,4,3
19970831,96,0.612,0.63,0.295,0.576,5.946,0.867,0.013,1.58,0.646,0.63,1.822,1.495,4.339,4.588,75.332,4,3
19961231,25,0.226,0.314,0.274,0.139,1.068,0.152,0.07,0.291,0.658,0.626,1.92,11.051,0.611,1.61,32.374,1,4
20011231,8,0.458,0.458,0.35,0.378,2.28,0.683,0.303,0.731,0.553,0.478,1.235,8.004,3.067,3.123,28.217,1,3
20010331,5,0.417,0.417,0.221,0.38,5.86,0.812,0.349,0.715,0.468,0.46,0.88,0,4.876,6.356,114.402,3,7
20080630,160,0.459,0.629,0.585,0.38,-24.82,0.412,0.11,0.845,0.673,0.59,2.078,-1.585,1.157,1.538,67.338,4,5
20120131,148,0.417,0.605,0.333,0.208,1.629,0.179,0.155,0.698,0.8,0.701,3.994,17.004,1.275,1.338,0,1,6
20090131,37,0.669,1.123,0,0.584,4.857,0.42,0.061,1.972,0.828,0.803,4.817,3.621,0,0,256.66,1,5
19990331,85,0.169,0.368,0.361,0.187,1.783,0.15,0.062,0.182,0.577,0.382,1.364,3.883,0.857,1.209,97.009,1,6
20000630,41,0.323,0.61,0.438,0.294,1.878,0.231,0.34,0.454,0.674,0.524,2.144,6.375,0.762,1.145,116.389,0,7
20040331,65,0.591,0.644,0.33,0.438,5.392,0.557,0.071,1.464,0.722,0.687,3.157,1.542,1.021,1.52,58.916,2,7
20020930,88,0.483,0.512,0.735,0.388,3.702,0.602,0.433,0.795,0.609,0.555,1.555,0.232,0.734,0.762,0,2,3
19990630,14,0.505,0.555,0.406,0.33,2.283,0.426,0.137,0.873,0.706,0.624,2.399,5.652,1.108,1.59,178.09,1,4
20110630,116,0.252,0.264,0.301,0.201,1.453,0.448,0.34,0.338,0.429,0.332,0.876,2.612,1.911,2.065,0.847,2,8
20010630,65,0.52,0.595,0.34,0.399,4.176,0.514,0.085,0.872,0.678,0.607,2.347,1.93,1.008,1.462,64.012,2,7
20060630,53,0.822,0.943,0.394,0.338,3.466,0.314,0.06,23.819,0.936,0.974,75.819,2.033,1.148,1.767,92.538,4,1
19980930,141,1.316,1.355,0.369,0.623,4.036,0.529,0.056,1.971,1.145,1.217,-7.886,1.699,0.702,1.263,29.594,4,4
20040430,24,0.783,1.109,0.378,0.536,2.519,0.423,0.15,2.64,0.895,0.857,8.536,6.676,0.285,0.569,40.191,1,2
19950331,107,0.286,0.287,0.195,0.184,1.16,0.337,0.4,0.343,0.543,0.414,1.189,7.605,2.502,3.015,24.03,2,6
20080331,172,0.381,0.39,0.406,0.277,1.816,0.481,0.162,0.573,0.561,0.444,1.295,8.081,1.536,2.705,122.109,2,7
20130630,146,0.344,0.448,0.467,0.273,3.075,0.349,-0.041,0.523,0.6,0.438,1.498,4.089,1.716,1.824,344.436,3,1
20080331,35,0.137,0.14,0.169,0.102,0.651,0.271,0.366,0.159,0.37,0.183,0.589,20.224,2.049,2.351,65.663,2,6
19970630,61,0.461,0.488,0.401,0.226,3.092,0.285,0.068,0.91,0.75,0.572,3.182,3.054,1.305,2.244,76.6,3,7
20110630,99,0.71,0.71,0.017,0.335,1.817,0.389,0.086,0.924,0.863,0.717,6.332,5.9,0.649,0.91,70.288,2,2
20040930,18,0.285,0.286,0.72,0.197,2.26,0.388,0.049,0.398,0.506,0.342,1.026,3.183,1.556,1.699,92.289,4,5
20130630,44,0.044,0.079,0.539,0.042,0.227,0.048,0.346,0.039,0.49,0.279,0.994,59.881,0.713,0.946,5.116,0,3
20110331,40,0.393,0.42,0.615,0.161,1.698,0.197,0.096,0.627,0.767,0.725,3.752,10.124,0.816,0.889,0,2,1
20090331,116,0.262,0.266,0.301,0.208,1.269,0.484,0.262,0.366,0.424,0.334,0.861,4.358,1.937,2.08,1.693,2,8
20020331,3,0.668,0.809,0.271,0.411,2.071,0.408,-0.235,2.01,0.831,0.725,4.929,19.757,1.198,1.466,206.022,1,4
20100930,65,0.58,0.602,0.389,0.354,2.902,0.452,0.241,1.014,0.753,0.652,3.174,2.427,1.297,1.826,42.881,2,7
19990331,130,0.51,0.515,0.753,0.382,7.89,0.593,0.101,0.827,0.637,0.547,1.757,-0.603,0.761,0.873,0,2,3
19980630,1,0.339,0.34,0.737,0.304,2.705,0.741,0.148,0.514,0.409,0.353,0.693,3.746,0.904,0.904,22.547,2,8
20040331,130,0.379,0.393,0.806,0.258,1.427,0.421,0.255,0.41,0.592,0.436,1.45,6.399,0.687,0.75,0,2,3
19991231,99,0.444,0.526,0,0.236,0.934,0.265,0.247,0.583,0.751,0.538,3.011,12.528,0,0,102.091,1,2
20010331,121,0.393,0.436,0.327,0.32,2.844,0.521,0.219,0.548,0.554,0.465,1.243,2.388,0.715,1.873,64.949,1,2
20001231,6,0.259,0.478,0.752,0.288,3.233,0.282,0.099,0.27,0.554,0.425,1.3,3.247,0.336,0.336,0,1,8
19981231,97,0.386,0.762,0.562,0.351,1.936,0.248,0.197,0.479,0.718,0.588,2.54,7.271,0.423,0.551,27.08,1,2
20130331,14,0.428,0.475,0.264,0.292,1.486,0.406,0.232,0.754,0.648,0.566,1.856,26.991,1.267,1.867,35.459,1,4
20040331,123,0.483,0.588,0.327,0.447,3.785,0.605,0.065,0.906,0.607,0.557,1.546,4.249,0.825,1.927,196.434,2,7
20001231,50,0.597,1.463,0,0.461,5.391,0.215,0.059,1.388,0.873,0.858,7.557,2.526,0,0,191.862,0,5
20031231,130,0.37,0.37,0.834,0.246,1.427,0.423,0.255,0.396,0.581,0.422,1.389,6.011,0.699,0.772,0,2,3
20130630,171,0.29,0.321,0.271,0.204,2.153,0.334,0.148,0.392,0.549,0.363,1.222,11.069,1.339,1.743,86.162,2,7
20030930,81,0.227,0.363,0.411,0.197,0.69,0.212,0.331,0.293,0.581,0.382,1.4,40.22,1.01,1.42,101.556,0,5
19950930,122,0.382,0.515,0.504,0.343,1.555,0.433,0.128,0.47,0.588,0.51,1.438,6.246,0.777,1.335,72.817,1,7
20030630,70,0.351,0.385,0.254,0.259,1.261,0.42,0.192,0.541,0.563,0.398,1.287,42.532,1.318,1.633,249.525,0,4
20140930,30,0.363,0.747,0.16,0.422,3.006,0.321,0.186,0.483,0.64,0.588,1.791,23.965,0.959,1.068,66.683,0,2
20091231,27,0.434,0.464,0.713,0.344,3.123,0.554,0.12,0.619,0.58,0.463,1.384,4.021,0.637,0.658,0,2,8
20040930,162,0.382,0.4,0.689,0.262,1.506,0.422,0.211,0.542,0.594,0.429,1.465,6.776,1.357,1.357,32.977,2,4
20030331,53,0.564,0.668,0.319,0.276,10.994,0.284,0.058,1.911,0.82,0.76,6.717,1.404,0.747,1.392,73.43,3,1
20031231,46,0.495,0.507,0.504,0.302,3.391,0.421,0.07,1.134,0.7,0.591,2.33,2.488,0.969,1.409,41.273,2,7
20090630,97,0.368,0.394,0.454,0.233,0.938,0.346,0.293,0.572,0.627,0.528,1.707,19.02,0.962,1.271,32.507,1,2
20071231,118,0.124,0.133,0.396,0.104,1.204,0.304,0.221,0.122,0.317,0.165,0.464,7.624,1.312,1.927,89.71,2,4
20120630,14,0.395,0.444,0.284,0.273,1.333,0.388,0.23,0.673,0.628,0.553,1.736,30.422,1.179,1.75,28.026,1,4
19990930,125,0.173,0.18,0.427,0.118,1.553,0.249,-0.004,0.227,0.456,0.224,0.98,3.946,1.613,1.613,33.495,2,1
20100930,172,0.375,0.383,0.321,0.284,1.645,0.518,0.236,0.582,0.537,0.437,1.206,16.008,2.198,3.206,96.963,2,7
20030930,15,0.414,0.508,0.564,0.301,2.085,0.376,0.2,0.741,0.652,0.641,3.183,3.5,0.657,0.708,41.228,1,8
19950630,15,0.519,0.701,0.616,0.375,1.571,0.373,0.207,0.882,0.743,0.642,2.931,5,0.634,0.684,0,1,8
20050930,64,0.358,0.489,0.597,0.219,1.412,0.224,0.193,0.549,0.713,0.584,2.487,15.735,1.139,1.237,69.849,1,6
20041031,110,0.531,0.586,0.258,0.397,3.514,0.528,0.098,1.062,0.682,0.609,2.164,3.698,0.779,1.982,53.44,3,2
20000930,43,0.45,0.586,0.468,0.339,2.64,0.383,0.117,0.804,0.682,0.576,2.142,4.363,0.82,1.231,68.886,1,5
19990430,145,0.54,0.798,0.286,0.474,3.071,0.442,0.057,1.173,0.726,0.694,2.656,3.483,0.334,0.747,10.495,2,2
20061231,14,0.29,0.317,0.264,0.191,1.13,0.305,0.259,0.409,0.573,0.37,1.342,16.681,1.358,1.931,150.232,1,4
20110630,19,0.261,0.269,0.169,0.184,0.799,0.361,0.291,0.35,0.494,0.328,0.97,43.986,1.851,2.049,15.674,1,4
20090630,100,0.327,0.334,0.56,0.213,1.296,0.365,0.262,0.384,0.571,0.424,1.352,8.899,0.717,0.976,4.278,1,3
19951231,26,0.539,0.871,0.56,0.38,2.412,0.295,0.163,1.165,0.799,0.726,3.968,4.079,0.947,1.264,74.044,1,5
19991231,49,0.051,0.306,0.214,0.131,0.768,0.037,0.221,0.053,0.592,0.343,1.452,21.453,0.384,1.011,74.046,1,5
19970630,56,0.324,0.536,0.276,0.294,1.251,0.282,0.229,0.399,0.629,0.474,1.696,9.952,0.562,1.194,92.66,1,2
19961231,11,0.254,0.272,0.456,0.198,1.863,0.402,0.142,0.397,0.458,0.407,1.087,4.166,1.192,1.762,79.403,2,3
20050331,47,0.906,1.043,0,0.599,7.816,0.55,0.089,7.576,0.946,0.926,18.415,1.236,0,0,218.107,3,1
20010930,41,0.32,0.541,0.411,0.272,2.684,0.244,0.197,0.428,0.659,0.499,2.035,2.991,0.818,1.266,125.603,0,7
20121231,144,0.388,0.388,0.312,0.285,3.777,0.517,0.255,0.475,0.551,0.444,1.266,0.325,0.825,1.015,0,2,3
19980930,152,0.618,0.621,0.241,0.536,-22.172,0.795,0.259,1.639,0.67,0.678,2.307,-1.773,3.227,3.227,0,4,3
20040930,134,0.15,0.165,0.471,0.121,0.622,0.295,0.523,0.174,0.375,0.203,0.6,26.732,1.148,1.252,61.014,2,6
19961031,148,0.061,0.069,0.377,0.031,0.12,0.047,0.149,0.075,0.583,0.434,1.399,57.729,1.64,1.88,16.202,2,6
19970930,144,0.397,0.402,0.705,0.348,2.438,0.722,0.479,0.685,0.477,0.462,1.067,2.114,1.189,1.241,0,2,3
19961130,96,0.304,0.318,0.389,0.281,3.562,0.702,0.939,0.45,0.384,0.355,0.623,1.739,2.961,3.303,69.257,4,3
20100930,113,0.3,0.301,0.374,0.209,0.7,0.406,0.56,0.319,0.514,0.374,1.062,17.455,1.174,1.221,0,2,3
20000331,116,0.359,0.385,0.667,0.322,2.338,0.648,0.274,0.651,0.463,0.446,1.037,3.136,1.006,1.003,9.471,1,8
20060930,98,0.08,0.157,0.255,0.104,0.555,0.135,0.284,0.076,0.393,0.166,0.648,31.426,1.558,1.852,404.772,0,4
